X,Y
153.6675186,190.8075644
241.5210168,224.0641331
197.2615176,299.3512004
179.8153501,239.5119143
108.7379659,166.6171302
244.1005025,323.6924197
411.5570316,359.0397942
455.1740177,121.0725705
-34.26817311,398.8151158
225.1201916,389.0080976
358.1794694,201.1212946
246.212468,308.8793805
37.86385544,14.14581487
230.070646,309.3060644
192.6722923,331.2229494
117.3515137,71.39567937
131.946961,221.7965633
200.0486011,300.7171949
191.5766635,505.8239283
77.31973706,339.7714988
291.437387,167.0819319
285.4888842,273.3615312
301.6499919,171.6865838
216.8379319,437.0833959
276.7879695,188.7688756
195.923536,223.7838197
196.509859,315.0382013
232.3541355,289.9654941
251.8620996,297.4902234
298.0061917,376.1953401
204.5138629,306.0323262
133.9586857,398.6044065
119.418272,503.8026071
201.4608177,295.673061
148.6934473,288.2029623
173.3982364,241.3506466
-74.6281508,534.2675583
340.7884595,284.5623773
175.507233,285.7455247
193.5110196,236.2435787
152.5551778,581.3476902
174.8003562,213.6920454
154.6995941,250.1393781
323.9246353,182.9967677
188.5217873,261.434939
187.844952,303.4323941
181.2399673,295.1368419
377.4588503,405.3812084
5.93790535,280.7708164
402.2846966,164.0044596
224.9254035,102.992484
296.2791094,386.0414515
227.1646207,341.9235224
223.0271877,396.9818981
233.3724773,202.9048467
325.0902829,465.0216622
245.5809376,398.3154458
223.1589671,277.6262496
264.2103264,354.8962879
197.8304683,290.8037359
229.5813247,374.6924423
184.3045233,352.167031
-28.03156667,447.0066861
216.5228099,159.3465592
103.674127,342.891312
212.0589538,290.7366444
214.9750294,310.9654437
7.600852348,343.5243485
226.9289664,373.7540349
287.6445387,280.0837786
238.1206138,293.5605344
206.2653363,309.2712709
-2.263404306,318.763583
238.7104322,320.1371057
202.2696845,297.8619974
271.3619528,320.6762168
349.1740015,413.5470211
186.22825,341.6292204
296.5462922,148.3185663
274.7786122,177.0431429
257.4829785,290.473874
208.3030304,405.6488415
183.2831916,331.6840362
183.5296914,161.9326525
270.8289149,194.9536294
167.0639714,487.2279773
142.9883215,206.4777911
259.2563938,349.8412317
278.5039653,145.8505804
33.75357128,427.2254147
154.7372827,334.0170251
138.6008956,434.6535381
256.705888,285.5614135
202.9704467,310.2304294
193.7225404,415.7411882
275.3482252,282.6502969
217.8711994,301.9948105
260.3828541,287.8645898
203.5824607,238.1675347
182.1179197,322.9606619
STDEV X, STDEV Y
92.19130618,100.5828098
STAND ERROR X, STAND ERROR Y
9.219130618,10.05828098
