X,Y
39.09340652,414.2061186
-120.3389481,427.1844099
44.25005415,202.1211502
-148.4807129,373.4903528
-31.40938738,427.7450121
259.4916239,468.3365165
113.6427974,407.749656
-24.27683124,546.5095433
10.33070681,478.0083848
-86.16629553,499.5567874
-120.8455562,485.8513217
13.80065734,404.098145
-20.85602265,508.2805252
114.0424441,380.0330187
-248.4808583,480.992876
-163.2523101,348.543928
-174.6552535,513.3672951
-240.5476554,639.9482481
-126.852201,479.8299128
-46.23630796,674.3003852
-229.5462225,476.9533308
2.307408989,388.8284464
-90.13043585,431.0313772
-108.737219,467.9967557
-138.4468937,344.7162668
-132.4971499,483.5459558
-183.9155743,608.9817842
21.58374891,630.9876414
-165.7229078,470.1552363
-154.6900994,575.9883018
-140.2568461,393.0927437
-250.1262227,549.0852409
-97.83987004,504.3052089
-399.3499549,507.7672704
-243.9920027,254.3988676
-187.0007318,550.6295065
-181.5078943,438.6742496
-286.6112059,680.8679012
-40.22409954,78.84841651
132.6287914,617.4756429
181.5355232,317.1167059
-178.0556497,654.8186237
-179.8232508,364.566454
-153.7787673,485.982334
-103.985975,507.0797447
-55.23284661,422.8473656
-136.7102954,585.5123778
-84.93023239,523.9314307
-159.5634965,412.6769138
-106.6280655,526.0088227
-121.669535,477.3859969
-288.8472224,643.2178865
-68.76029381,534.8429101
-128.7700416,566.7977744
-60.88902185,487.4655539
-149.2096884,462.2857233
16.09664606,533.7913033
-159.1792213,279.9823224
-181.1603493,462.4643298
218.9704965,465.5181724
-59.88619115,450.3643695
-223.7499532,195.6304396
-160.3163147,545.2710741
57.84059944,310.3191274
-31.42745441,564.5153311
-230.9181518,480.3790549
-165.4759691,538.087524
78.99930064,691.2586826
-126.1659464,430.3453786
-105.3986434,485.8937036
-194.1653607,496.0859117
-160.3297302,480.4687944
-126.785321,495.2575134
-120.4806723,517.169581
-161.5270612,468.3529507
-124.4112528,501.3923203
-26.98501773,496.1366424
-194.1076258,550.948877
-177.110161,483.1300102
-123.925654,489.4535863
-65.37837561,546.3279813
-92.87944227,493.9046386
-10.80449391,476.2150944
-454.1449215,710.0123644
-340.7760923,362.8087114
-243.1271134,537.4528841
0.350726306,451.5830832
-109.7329609,510.5115728
151.6604524,627.825735
-50.02818979,544.463949
-17.19167983,464.1191187
-54.93554133,647.8516476
-176.5367514,589.6275636
-100.5183271,438.2810429
-109.784009,365.2490444
-241.9416879,352.1310152
5.157391177,482.977249
-313.4328182,393.7418809
-39.89924849,348.7681141
-51.76978044,439.9917907
STDEV X, STDEV Y
121.367661,106.9083692
STAND ERROR X, STAND ERROR Y
12.1367661,10.69083692
