X,Y
200,300
200,300
200,300
200,300
200,300
200,300
200,300
200,300
200,300
200,300
200,300
200,300
200,300
200,300
200,300
200,300
200,300
200,300
200,300
200,300
200,300
200,300
200,300
200,300
200,300
200,300
200,300
200,300
200,300
200,300
200,300
200,300
200,300
200,300
200,300
200,300
200,300
200,300
200,300
200,300
200,300
200,300
200,300
200,300
200,300
200,300
200,300
200,300
200,300
200,300
200,300
200,300
200,300
200,300
200,300
200,300
200,300
200,300
200,300
200,300
200,300
200,300
200,300
200,300
200,300
200,300
200,300
200,300
200,300
200,300
200,300
200,300
200,300
200,300
200,300
200,300
200,300
200,300
200,300
200,300
200,300
200,300
200,300
200,300
200,300
200,300
200,300
200,300
200,300
200,300
200,300
200,300
200,300
200,300
200,300
200,300
200,300
200,300
200,300
200,300
STDEV X, STDEV Y
0,0
STAND ERROR X, STAND ERROR Y
0,0
