X,Y
151.95289311008656,231.35859642255406
197.02976770892062,288.8817906314539
103.72985431136308,245.1055338984347
116.98342540866484,233.6462533510827
273.56214594638186,243.04322367551572
285.48840256497385,362.8355479769509
154.97523571733004,262.8419238188309
268.75888953929336,289.45480974164565
246.2654769259995,324.9565278858376
64.90332820708187,352.1989078894162
127.05006870884326,325.74006552707084
135.8252800717566,402.34069137085623
231.1418425424767,297.62696780222
138.8997519472278,356.0294609025083
230.49947730953008,283.1215484069011
307.7390655369609,202.5299736762624
312.4778216251509,244.87944387529978
163.64358420490163,208.6197770202131
207.84669715297218,320.0172067594979
158.48329747210417,268.4351588514114
196.85455286844294,431.06823720546004
315.68984559900093,265.6378366229304
245.92197846370115,332.9497796459624
191.5127290332562,315.24572853262595
129.40424868443154,185.02598107607895
213.6293153978715,215.28688576595664
325.8356863568687,256.1953444995857
219.07832879185435,343.7334550794013
188.87815992185878,292.63999929928815
202.02597915066715,294.6401412150729
264.7343583486868,395.07673524965287
198.51689670085733,252.6108769661671
54.55152042874218,323.1111038388574
181.33712239771714,322.9159692927504
214.3400079919333,313.405333341643
178.60423421642463,226.92551576165138
263.496289653798,421.0056194359323
253.0272551330451,355.2302380513734
200.81347110618577,312.5807718073091
191.24491179119147,375.69687688719864
262.44903455484643,267.59707183297496
289.8863962188827,329.99941091278515
182.98102616178107,296.4106910494681
265.98916288280117,358.1609286120054
201.29606249479488,401.37718142956635
273.56133429335546,415.602128951077
158.4719780186369,305.9952282217701
151.4040803974493,441.4356657870252
221.8935407961304,251.8536770779227
246.84279856548744,207.47602231946883
182.53818829506537,233.96576278966535
319.2723191925455,388.6123108108037
285.11554338537724,310.89651924278945
195.21172717316767,226.22465523164004
202.52147539114506,300.032425456417
124.43422710218933,375.92749780746226
343.8705912611195,303.35358939749483
162.22524297004702,291.76972029925776
160.91973226604372,298.7346352566292
231.46965264760416,167.07131857443792
196.81139645792214,305.6745977710953
253.97560427898716,282.91879149924654
196.4462611509179,298.47772841421346
222.48912897798363,258.2654526679615
320.9239030737941,274.7606928591952
292.729576237332,389.92687957268987
195.43894911566392,297.27264410512703
116.90059684204353,409.6244612669987
206.73745128436633,330.71306440326657
171.51805880132855,283.6738420755876
173.80596933495426,390.46519902417924
294.0211793855013,370.24071869292777
197.98838820334214,301.2619354582687
154.42839607541413,397.0206517728324
100.84243804193927,336.980289990051
198.95755091529773,300.20263641446496
110.0179202125211,233.38066569767116
162.35597394818947,362.89482573467996
61.781966995491416,318.78293849626465
145.65807268540854,267.6201540934577
216.55379716524217,372.7333376858009
284.1229863549824,244.25412044237547
259.2106637258042,279.93806857452705
190.28333951526412,286.7805572788963
155.93714430776396,169.8197718395301
204.41904631434537,299.2198772329292
138.7283017814683,326.2483083129455
170.61969572649508,360.0145573921932
156.1514640818604,316.74589271472513
278.6874136595036,201.8558813646489
111.9049551454421,182.59372916891584
243.1517596091718,275.5841765679581
260.88003574130437,215.95469360335255
259.30987434453726,211.23127154103503
212.873337560826,283.6509511373802
273.89992638793456,325.38494484683235
165.93619549821062,398.1130092317625
306.58942757533026,248.21250968421145
197.22089591584276,312.02885077112165
136.77103024257048,334.13120113054936
STDEV X, STDEV Y
=STDEV(A2:A101),=STDEV(B2:B101)
STAND ERROR X, STAND ERROR Y
=A103/SQRT(100),=B103/SQRT(100)
